Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,FN,I,IF,N,NS,P,PI,S,SI,U,W,WF,WN,WU,
,,,"Energy, Food, And Environment",202210,Fall 2021,028,24887,"De Lemos, Marcelo J.",7.1%,35.7%,7.1%,,14.3%,,14.3%,,,,,,,,,,,,,,7.1%,,,,,14.3%,,,,
,,,Geospatial Analysis,202210,Fall 2021,054,25315,"Gould, Justin A.",7.7%,7.7%,53.8%,,,,,,,,,,,,,,,,,,7.7%,,,,,23.1%,,,,
,,,Leadership In Health,202210,Fall 2021,032,24900,"Brightman, Andrew O.",25.0%,,62.5%,,,6.3%,,,6.3%,,,,,,,,,,,,,,,,,,,,,
,,,"Politics, Cartoons, Satire",202210,Fall 2021,045,24957,"Vanaik, Anish",69.2%,,23.1%,,,,,,,,,,,,,,7.7%,,,,,,,,,,,,,
,,,Surveillance And Society,202210,Fall 2021,048,24963,"Weinberg, Lindsay",75.0%,25.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Technology, War, Strategy",202210,Fall 2021,026,24880,"Kirchubel, Robert F.",35.7%,50.0%,7.1%,,,,7.1%,,,,,,,,,,,,,,,,,,,,,,,
,,,The Royal Court,202210,Fall 2021,037,24927,"Mitchell, Silvia Z.",29.4%,17.6%,35.3%,,,,,,,,,,,,,,,,,,5.9%,,,,,11.8%,,,,
,,,Well-Being,202210,Fall 2021,019,16500,"Ware, Jason A.",77.8%,,,,,,11.1%,,5.6%,,,,,,,,,,,,,,,,,5.6%,,,,
,,,World-Building,202210,Fall 2021,047,24961,"Jarriel, Katherine M.",77.8%,16.7%,,,,,5.6%,,,,,,,,,,,,,,,,,,,,,,,
HORT,HORT-Horticulture,10100,Fundmntls Horticulture,202210,Fall 2021,015,16668,"Oelschlager, Patrick T.",29.4%,,41.2%,,5.9%,,5.9%,5.9%,,5.9%,5.9%,,,,,,,,,,,,,,,,,,,
,,,,,,016,16672,"Oelschlager, Patrick T.",40.0%,,26.7%,,13.3%,6.7%,,,,,,,,,6.7%,,,,,,,,,,,6.7%,,,,
,,,,,,017,11738,"Nzaranyimana, Theoneste",42.9%,,14.3%,,14.3%,,7.1%,7.1%,,,,,,,14.3%,,,,,,,,,,,,,,,
,,,,,,018,11741,"Oelschlager, Patrick T.",25.0%,6.3%,31.3%,,12.5%,,12.5%,,,,,,,,6.3%,,,,,,,,,,,6.3%,,,,
,,,,,,019,11742,"Velasco Ortiz, Jose E.",52.9%,,23.5%,,,,5.9%,,,,,,5.9%,,,,,,,,5.9%,,,,,5.9%,,,,
,,,,,,025,22037,"Orvis, Kathryn S.",43.8%,6.3%,18.8%,,12.5%,6.3%,6.3%,,,,,,,,,,,,,,,,,,,6.3%,,,,
,,,,,,026,27223,"Stirm, Vicki E.",43.8%,,18.8%,,12.5%,,6.3%,6.3%,,6.3%,6.3%,,,,,,,,,,,,,,,,,,,
,,,,,,027,27224,"Velasco Ortiz, Jose E.",37.5%,6.3%,6.3%,,18.8%,,,,12.5%,,6.3%,,,,12.5%,,,,,,,,,,,,,,,
,,,,,,028,27225,"Nzaranyimana, Theoneste",29.4%,,35.3%,,17.6%,,,5.9%,,,5.9%,,,,,,,,,,,,,,,5.9%,,,,
,,,,,,029,27226,"Nzaranyimana, Theoneste",28.6%,,21.4%,,,7.1%,21.4%,,,7.1%,7.1%,,,,,,,,,,,,,,,7.1%,,,,
,,,,,,LC1,12935,"Orvis, Kathryn S.",33.3%,16.7%,33.3%,,,,8.3%,,,,,,,,,,,,,,,,,,,8.3%,,,,
,,,Fundmntls Horticulture-Honors,202210,Fall 2021,017,11738,"Nzaranyimana, Theoneste",,,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,025,22037,"Orvis, Kathryn S.",,,,,,,,100.0%,,,,,,,,,,,,,,,,,,,,,,
,,12100,Medicine In The Garden,202210,Fall 2021,001,11196,"Widhalm, Joshua R.",24.0%,9.4%,52.1%,,2.1%,4.2%,4.2%,,1.0%,,,,,,2.1%,,,,,,,,,,,1.0%,,,,
,,21700,Woody Landscape Plants,202210,Fall 2021,016,11648,"Siciliano, Paul C.",23.1%,,,,53.8%,,,15.4%,,,,,,,3.8%,,,,,,,,,,,3.8%,,,,
,,21810,Flowers For Color,202210,Fall 2021,002,16758,"Dana, Michael N.",26.1%,17.4%,4.3%,,4.3%,21.7%,4.3%,,8.7%,4.3%,,,,,4.3%,,,,,,,,,,,4.3%,,,,
,,21820,Hardy Herbaceous Landscpe Plts,202210,Fall 2021,002,17538,"Dana, Michael N.",11.1%,5.6%,,,19.4%,19.4%,11.1%,5.6%,8.3%,5.6%,2.8%,,2.8%,,8.3%,,,,,,,,,,,,,,,
,,27000,Floral Design & Inter Plt Mgmt,202210,Fall 2021,001,20518,"Hayden, Mary L.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31700,Landscpe Cntrct & Mgmt,202210,Fall 2021,001,21715,"Daniel, Kyle M.",27.6%,17.2%,6.9%,,13.8%,3.4%,10.3%,3.4%,3.4%,,,3.4%,,,10.3%,,,,,,,,,,,,,,,
,,31800,Field Prod Of Hort Crops,202210,Fall 2021,002,16814,"Langenhoven, Petrus",13.0%,13.0%,4.3%,,21.7%,4.3%,8.7%,4.3%,4.3%,4.3%,4.3%,,,,13.0%,,,,,,4.3%,,,,,,,,,
,,43500,Developing An Agr Startup,202210,Fall 2021,001,21731,"Torres Bravo, Ariana P.",8.3%,33.3%,58.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSCI,HSCI-Health Sciences,10100,Intro Health Sciences,202210,Fall 2021,002,19159,"Zheng, Wei",48.9%,17.3%,2.3%,,11.6%,2.0%,9.9%,1.7%,0.3%,1.4%,1.1%,0.3%,0.3%,,1.7%,,,,,,,,,,,1.1%,,,,
,,13100,Medical Terminology,202210,Fall 2021,002,20474,"Hilliard, Lisa M.",27.4%,7.1%,2.4%,,22.6%,1.2%,6.0%,10.1%,1.8%,5.4%,3.0%,0.6%,1.2%,,4.2%,,,,,,2.4%,,,,,4.2%,0.6%,,,
,,19000,Healthcare Uncovered,202210,Fall 2021,LC1,24437,"Hilliard, Lisa M.",63.6%,9.1%,,,18.2%,4.5%,,,,,,,,,4.5%,,,,,,,,,,,,,,,
,,19501,HSCI Freshman Honors Sem,202210,Fall 2021,H05,57220,"Bowman, Aaron B.",,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,
,,20200,"Esntls Of EHS, OHS,&RHS- Honor",202210,Fall 2021,001,37506,"Freeman, Jennifer L.",,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Essentials Of EHS, OHS, & RHS",202210,Fall 2021,001,37506,"Freeman, Jennifer L.",40.8%,17.4%,1.5%,,9.8%,7.2%,15.1%,0.4%,0.8%,3.0%,0.4%,0.4%,0.8%,,2.3%,,,,,,,,,,,0.4%,,,,
,,,"Esstl Of EHS,OHS,&RHS-Honors",202210,Fall 2021,001,37506,"Freeman, Jennifer L.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Esstls Of EHS,OHS,&RHS-Honors",202210,Fall 2021,001,37506,"Freeman, Jennifer L.",,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22500,Health Leadership And Safety,202210,Fall 2021,001,22590,"Wilson, Mark D.",12.0%,16.0%,9.3%,,17.3%,12.0%,13.3%,5.3%,2.7%,4.0%,1.3%,,2.7%,,2.7%,,,,,,,,,,,1.3%,,,,
,,29601,HSCI Sophomore Honors Project,202210,Fall 2021,H01,57227,"Bowman, Aaron B.",,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,
,,30500,Basics Of Oncology,202210,Fall 2021,001,16509,"Perez-Torres, Carlos J.",62.3%,,,,31.2%,,,5.2%,,,,,,,,,,,,,,,,,,1.3%,,,,
,,31200,Radiation Science,202210,Fall 2021,001,21790,"Dydak, Ulrike",5.6%,16.7%,44.4%,,,11.1%,5.6%,,,5.6%,,,,,11.1%,,,,,,,,,,,,,,,
,,31300,Radiation Detection,202210,Fall 2021,001,65369,"Liu, Shuang",36.4%,,,,18.2%,,36.4%,,,9.1%,,,,,,,,,,,,,,,,,,,,
,,34500,Intro Occ Envir Health,202210,Fall 2021,001,21796,"Liu, Sa",11.9%,,6.8%,,32.2%,,15.3%,11.9%,,10.2%,8.5%,,,,,,,,,,,,,,,3.4%,,,,
,,,Intro Occ Envir Health-Honors,202210,Fall 2021,001,21796,"Liu, Sa",,,,,,,,,,,100.0%,,,,,,,,,,,,,,,,,,,
,,39601,HSCI Junior Honors Project,202210,Fall 2021,H01,62855,"Bowman, Aaron B.",,,,,,,,,,,,,,,,,,,,,91.7%,,,,,8.3%,,,,
,,42000,Applied Anatomy For Medicine,202210,Fall 2021,001,16515,"Hilliard, Lisa M.",50.0%,4.4%,2.9%,,13.2%,2.9%,20.6%,1.5%,,1.5%,1.5%,,,,1.5%,,,,,,,,,,,,,,,
,,52600,Prin HP & Dosimetry,202210,Fall 2021,001,15798,"Stantz, Keith M.",28.6%,28.6%,,,21.4%,,7.1%,14.3%,,,,,,,,,,,,,,,,,,,,,,
,,54700,Fundamentals Of Epidemiology,202210,Fall 2021,003,25232,"Wells, Ellen M.",36.1%,,,,55.6%,,,2.8%,,2.8%,,,,,,,,,,,,,,,,2.8%,,,,
,,56000,Toxicology,202210,Fall 2021,001,21891,"Shannahan, Jonathan H.",53.0%,,,,34.8%,,,7.6%,,,,,,,,,,,,,,,,,,4.5%,,,,
,,57400,Medical Health Physics,202210,Fall 2021,001,21893,"Richards, Mack",,33.3%,8.3%,,8.3%,,41.7%,,8.3%,,,,,,,,,,,,,,,,,,,,,
,,58000,Occup Biomech & Ergonomics,202210,Fall 2021,001,21894,"Wilson, Mark D.",35.4%,19.0%,17.7%,,7.6%,2.5%,13.9%,1.3%,,1.3%,,,,,,,,,,,,,,,,1.3%,,,,
,,69600,Seminr In Hlth Science,202210,Fall 2021,001,36063,"Cannon, Jason R.",74.5%,8.5%,8.5%,,4.3%,,4.3%,,,,,,,,,,,,,,,,,,,,,,,
HSOP,"HSOP-Hlth,Srvcs,Outcomes&Polic",69600,Sem In Phar Adm,202210,Fall 2021,002,48456,"Zillich, Alan J.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTM,HTM-Hospitality & Tourism Mgmt,10010,Intro Hosp & Tourism Industry,202210,Fall 2021,SC1,36756,"Ghiselli, Richard F.",51.6%,,,,27.4%,,,8.1%,,,,,,,9.7%,,0.8%,,,,,,,,,2.4%,,,,
,,14100,Fin Acctg Service Ind,202210,Fall 2021,002,21924,"Jang, Soo Cheong",13.0%,,,,26.1%,,,39.1%,,,4.3%,,,,4.3%,,,,,,,,,,,13.0%,,,,
,,,,,,003,16972,"Tang, Chun-Hung H.",9.1%,,,,18.2%,9.1%,4.5%,13.6%,18.2%,13.6%,9.1%,,4.5%,,,,,,,,,,,,,,,,,
,,,,,,X01,61722,"Wood, David W.",9.1%,4.5%,,,18.2%,13.6%,9.1%,,13.6%,4.5%,,,,,18.2%,,,,,,,,,,,9.1%,,,,
,,16200,Intro To Event & Meet Planning,202210,Fall 2021,001,18289,"Jung, Shinyong",55.0%,22.5%,,,,,12.5%,2.5%,,7.5%,,,,,,,,,,,,,,,,,,,,
,,17300,Intro To Tourism Mgmt,202210,Fall 2021,001,50412,"Hong, Jinhua",52.5%,,,,25.0%,,,12.5%,,,2.5%,,,,,,,,,,,,,,,7.5%,,,,
,,,,,,002,17892,"Cai, Liping A.",25.0%,19.4%,,,11.1%,2.8%,33.3%,2.8%,2.8%,,,,,,2.8%,,,,,,,,,,,,,,,
,,18100,Intro To Lodging Management,202210,Fall 2021,001,61845,"Gordon, Susan E.",2.9%,26.5%,8.8%,,8.8%,17.6%,11.8%,2.9%,5.9%,14.7%,,,,,,,,,,,,,,,,,,,,
,,,,,,003,17110,"Nicely, Annmarie J.",11.8%,5.9%,,,17.6%,23.5%,5.9%,,,23.5%,,,,,5.9%,,,,,,,,,,,5.9%,,,,
,,19100,Sanitation And Health,202210,Fall 2021,001,21932,"Byrd, Karen S.",23.5%,,,,49.0%,,9.8%,7.8%,,2.0%,,,,,5.9%,,,,,,,,,,,,2.0%,,,
,,20200,Hospitality&Tourism Work Expr,202210,Fall 2021,001,10713,"Hong, Jinhua",,,,,,,,,,,,,,,,,,,,,88.9%,5.6%,,,,5.6%,,,,
,,21200,Mgmt & Ldrsp In Hosp & Tour,202210,Fall 2021,001,24502,"Gordon, Susan E.",26.1%,8.7%,26.1%,,6.5%,10.9%,6.5%,,6.5%,8.7%,,,,,,,,,,,,,,,,,,,,
,,23100,Hosp & Tour Marketing,202210,Fall 2021,001,41530,"Lehto, Xinran Y.",47.5%,,,,52.5%,,,,,,,,,,,,,,,,,,,,,,,,,
,,24100,Mgr Acct&Fncl Mgt Hosp,202210,Fall 2021,001,21937,"Leitch, Stephen R.",11.6%,32.6%,2.3%,,4.7%,9.3%,16.3%,9.3%,2.3%,2.3%,2.3%,,,,7.0%,,,,,,,,,,,,,,,
,,,,,,X02,16132,"Ju, Yongwook",27.5%,,,,45.0%,,,17.5%,,,,,,,,,,,,,,,,,,10.0%,,,,
,,25500,Adv Spreadsheet Techs For HTM,202210,Fall 2021,001,17594,"Liu, Yiran",60.7%,,,,21.4%,,,10.7%,,,3.6%,,,,,,,,,,,,,,,3.6%,,,,
,,26200,Festivals And Special Events,202210,Fall 2021,001,19936,"Leitch, Stephen R.",20.0%,40.0%,6.7%,,20.0%,13.3%,,,,,,,,,,,,,,,,,,,,,,,,
,,29101,Quant Food Prd&Srv Lab,202210,Fall 2021,001,21946,"Hamilton, Theresa M.",46.7%,33.3%,,,6.7%,,6.7%,,,,,,,,6.7%,,,,,,,,,,,,,,,
,,,,,,002,14904,"Hamilton, Theresa M.",57.1%,28.6%,,,7.1%,,7.1%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,14920,"Hamilton, Theresa M.",84.6%,7.7%,,,,,,,,,,,,,,,,,,,,,,,,7.7%,,,,
,,,,,,004,14905,"Hamilton, Theresa M.",76.9%,23.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29102,Intro To Foodservice Mgmt,202210,Fall 2021,001,18295,"Hamilton, Theresa M.",33.3%,29.8%,,,12.3%,,15.8%,1.8%,,,,,,,5.3%,,,,,,,,,,,1.8%,,,,
,,30200,Hosp & Tour Ind Intern,202210,Fall 2021,001,21948,"Chen, Jun",75.0%,,,,8.3%,,,,,,,,,,,,16.7%,,,,,,,,,,,,,
,,31100,Procuremt Mgt Foodserv,202210,Fall 2021,001,15848,"Byrd, Karen S.",54.8%,,3.2%,,12.9%,,22.6%,3.2%,,3.2%,,,,,,,,,,,,,,,,,,,,
,,31200,Human Res Mgt Serv Ind,202210,Fall 2021,001,24747,"Nicely, Annmarie J.",3.9%,9.8%,,,19.6%,23.5%,17.6%,7.8%,,17.6%,,,,,,,,,,,,,,,,,,,,
,,31700,Bus Etiquette For Mgrs,202210,Fall 2021,001,61724,"Cawdron, Anthony P.",37.5%,10.0%,47.5%,,,,,,,,,,,,,,,,,,2.5%,,,,,2.5%,,,,
,,32200,Hosptl Facilities Mgmt,202210,Fall 2021,001,51430,"Nelson, Douglas C.",10.0%,,,,40.0%,,,33.3%,,,6.7%,,,,3.3%,,,,,,,,,,,6.7%,,,,
,,,,,,002,21952,"Nelson, Douglas C.",21.6%,,,,40.5%,,,27.0%,,,,,,,2.7%,,,,,,,,,,,8.1%,,,,
,,34100,Ops Ctrl/Analysis In Hosp Ind,202210,Fall 2021,001,18484,"Behnke, Carl A.",44.1%,,,,14.7%,,,20.6%,,,5.9%,,,,5.9%,,2.9%,,,,,,,,,5.9%,,,,
,,,,,,002,21955,"Leitch, Stephen R.",8.6%,34.3%,5.7%,,11.4%,8.6%,25.7%,2.9%,,2.9%,,,,,,,,,,,,,,,,,,,,
,,36200,Event And Meeting Management,202210,Fall 2021,001,16224,"Jung, Shinyong",21.7%,47.8%,,,8.7%,4.3%,13.0%,,,,,,,,,,,,,,,,,,,4.3%,,,,
,,37200,Global Tour Geography,202210,Fall 2021,001,16134,"Leitch, Stephen R.",26.5%,23.5%,8.8%,,2.9%,17.6%,5.9%,,2.9%,5.9%,,,,,2.9%,,,,,,,,,,,2.9%,,,,
,,38110,Revenue Mgmt Lodging Industry,202210,Fall 2021,001,10449,"Fan, Alei",8.3%,13.9%,19.4%,,13.9%,19.4%,2.8%,8.3%,,5.6%,2.8%,2.8%,,,,,,,,,,,,,,2.8%,,,,
,,39900,Food & Wine Seminar,202210,Fall 2021,002,29269,"Behnke, Carl A.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Leadership Development,202210,Fall 2021,001,22207,"Gordon, Susan E.",4.0%,4.0%,76.0%,,,,4.0%,,,,,,,,4.0%,,8.0%,,,,,,,,,,,,,
,,41100,Hospitality & Tour Law,202210,Fall 2021,001,19175,"Nelson, Douglas C.",9.1%,,,,45.5%,,,36.4%,,,4.5%,,,,,,,,,,,,,,,4.5%,,,,
,,49111,Beverage Operation Mgmt,202210,Fall 2021,001,51573,"Wade, Courtney J.",85.3%,,,,8.8%,,,2.9%,,,,,,,,,1.5%,,,,,,,,,1.5%,,,,
,,49112,Mgmt & Serv Beverage Alcohol,202210,Fall 2021,X01,51574,"Behnke, Carl A.",61.5%,,,,25.6%,,,10.3%,,,,,,,2.6%,,,,,,,,,,,,,,,
,,49201,Hosp Op Mgmt And Ldshp,202210,Fall 2021,001,19029,"Hamilton, Theresa M.",57.1%,24.5%,,,6.1%,2.0%,6.1%,,,4.1%,,,,,,,,,,,,,,,,,,,,
,,49900,Feas Stdy & Bus Devlp,202210,Fall 2021,001,10832,"Sydnor, Sandra B.",35.3%,,,,29.4%,,35.3%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,50462,"Ismail, Joseph A.",38.5%,15.4%,,,7.7%,,7.7%,15.4%,,7.7%,,,,,,,,,,,,,,,,7.7%,,,,
IDE,IDE-Interdisciplinary Engr,30100,Professional Prep IDE,202210,Fall 2021,001,15749,"Davis, Kirsten A.",52.4%,4.8%,,,,,9.5%,4.8%,4.8%,,4.8%,,,,14.3%,,,,,,,,,,,4.8%,,,,
,,36000,MDE Statistics,202210,Fall 2021,001,19000,"Ohland, Matthew W.",21.1%,5.3%,10.5%,,,5.3%,10.5%,10.5%,5.3%,10.5%,5.3%,,,,5.3%,,,,,,,,,,,10.5%,,,,
,,38500,Design Mthodolog Divrs Stkhldr,202210,Fall 2021,001,21650,"Hess, Justin L.",18.8%,18.8%,6.3%,,25.0%,6.3%,12.5%,6.3%,6.3%,,,,,,,,,,,,,,,,,,,,,
,,48300,MDE Engr Analysis/Decision,202210,Fall 2021,001,17434,"Hynes, Morgan M.",26.1%,26.1%,17.4%,,13.0%,,8.7%,4.3%,,4.3%,,,,,,,,,,,,,,,,,,,,
,,48400,MDE Design Methodology,202210,Fall 2021,001,16707,"Hynes, Morgan M.",48.8%,,2.4%,,26.8%,,,9.8%,,,2.4%,,,,7.3%,,,,,,,,,,,2.4%,,,,
,,48700,MDE Senior Development,202210,Fall 2021,001,15583,"Pilotte, Mary K.",28.2%,10.3%,25.6%,,5.1%,5.1%,5.1%,5.1%,5.1%,5.1%,,,,,2.6%,,,,,,,,,,,2.6%,,,,
IE,IE-Industrial Engineering,20000,Ind Engr Seminar,202210,Fall 2021,001,22013,"Brunese, Patrick A.",,,,,,,,,,,,,,,,,,,,,,,93.0%,,5.1%,1.9%,,,,
,,23000,Prob & Stat In Engr I,202210,Fall 2021,001,22014,"Sarayloo, Fatemeh",12.0%,10.2%,,,13.9%,14.8%,13.9%,8.3%,8.8%,8.8%,5.6%,,,,2.8%,,,,,,,,,,,0.9%,,,,
,,33000,Prob & Stat In Engr II,202210,Fall 2021,001,22016,"Nateghi, Roshanak",18.7%,6.5%,30.8%,,26.2%,,,7.5%,,,2.8%,,,0.9%,0.9%,,,,,,,,,,,5.6%,,,,
,,33200,Comput In Indust Engr,202210,Fall 2021,001,22017,"Ventresca, Mario",8.4%,,4.2%,,10.5%,16.8%,6.3%,7.3%,12.6%,14.1%,1.0%,3.7%,4.7%,,6.3%,,,,,,,,,,,4.2%,,,,
,,33500,Oper Research-Optimiz,202210,Fall 2021,001,22023,"Karakaya, Erhan",12.0%,14.8%,5.8%,,11.7%,10.0%,8.9%,5.2%,7.6%,4.1%,3.4%,4.8%,0.7%,,8.9%,,,,,,,,,,,1.0%,1.0%,,,
,,33600,Oper Res-Stoch Models,202210,Fall 2021,001,22024,"Honnappa, Harsha",42.0%,,5.7%,,31.2%,,,10.8%,,,3.8%,,,,5.7%,,,,,,,,,,,0.6%,,,,
,,34300,Engineering Economics,202210,Fall 2021,001,22025,"Cai, Hua",13.0%,13.0%,3.5%,,12.0%,10.0%,9.0%,9.0%,8.0%,3.5%,3.5%,2.0%,2.5%,,8.5%,,,,,,,,,,,2.0%,0.5%,,,
,,,,,,002,50722,"Karakaya, Erhan",12.1%,10.3%,7.9%,,15.8%,14.5%,5.5%,6.1%,7.3%,3.0%,3.6%,0.6%,1.8%,,8.5%,,,,,,,,,,,3.0%,,,,
,,37000,Mfg Processes I,202210,Fall 2021,001,22027,"Wu, Wenzhuo",35.3%,18.5%,27.6%,,2.6%,2.2%,9.9%,0.9%,,0.9%,,,,,1.7%,,,,,,,,,,,0.4%,,,,
,,38300,Integrated Prod Sys I,202210,Fall 2021,001,22028,"Yih, Yuehwern",19.8%,18.1%,3.4%,,6.9%,8.6%,13.8%,10.3%,2.6%,6.9%,1.7%,,1.7%,,4.3%,,,,,,,,,,,1.7%,,,,
,,38600,Work Anly And Design I,202210,Fall 2021,001,22029,"Yu, Denny",7.3%,22.0%,2.4%,,17.9%,11.4%,13.0%,5.7%,3.3%,7.3%,3.3%,,,,3.3%,,0.8%,,,,,,,,,2.4%,,,,
,,43100,Industrial Engr Design,202210,Fall 2021,001,22036,"Brunese, Patrick A.",48.5%,33.8%,7.4%,,1.5%,,7.4%,,,,,,,,,,,,,,,,,,,1.5%,,,,
,,47000,Mfg Processes II,202210,Fall 2021,001,22051,"Martinez, Ramses",24.2%,,36.4%,,6.1%,,12.1%,6.1%,,12.1%,,3.0%,,,,,,,,,,,,,,,,,,
,,47400,Industrial Control Sys,202210,Fall 2021,001,22055,"Aggarwal, Vaneet",7.7%,4.2%,5.4%,,11.3%,18.5%,8.3%,3.6%,8.9%,12.5%,6.0%,3.6%,6.0%,,2.4%,,,,,,,,,,,1.8%,,,,
,,48400,Integrated Prod Sys II,202210,Fall 2021,001,22056,"Nof, Shimon Y.",23.9%,11.3%,11.3%,,14.1%,4.2%,16.9%,,1.4%,4.2%,,,,,,,,,,,,,,,,9.9%,2.8%,,,
,,48600,Work Anly & Design II,202210,Fall 2021,001,22059,"Rahman, Md Mahmudur",12.2%,26.5%,7.5%,,15.0%,12.9%,19.0%,1.4%,2.7%,2.7%,,,,,,,,,,,,,,,,,,,,
,,49000,IE Special Projects,202210,Fall 2021,001,18284,"Pearson, Elizabeth",16.7%,11.1%,72.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53000,Quality Control,202210,Fall 2021,WNG,13358,"Prabhu, Nagabhushana",14.5%,16.4%,27.3%,,9.1%,5.5%,10.9%,3.6%,1.8%,3.6%,,,,,1.8%,,,,,,,,,,,3.6%,1.8%,,,
,,53500,Linear Programming,202210,Fall 2021,WNG,22068,"Liu, Lu",46.2%,,,,18.5%,,,3.1%,,,27.7%,,,,,,,,,,,,,,,4.6%,,,,
,,54100,Nature-Inspired Computation,202210,Fall 2021,001,17843,"Ventresca, Mario",42.9%,,14.3%,7.1%,21.4%,,14.3%,,,,,,,,,,,,,,,,,,,,,,,
,,54500,Engr Economic Anly,202210,Fall 2021,001,50788,"Johnson, David R.",30.4%,7.8%,30.4%,,7.8%,4.9%,4.9%,3.9%,,3.9%,1.0%,,,,1.0%,,,,,,,,,,,3.9%,,,,
,,55900,Cog Eng Interac Sftwre,202210,Fall 2021,001,16790,"Caldwell, Barrett S.",15.8%,13.2%,5.3%,2.6%,42.1%,5.3%,10.5%,,,,,,,,,,,,,,,,,,,5.3%,,,,
,,57000,Mfg Process Engr,202210,Fall 2021,WNG,11600,"Chandrasekar, Srinivasan",24.3%,,10.8%,2.7%,45.9%,,8.1%,5.4%,,,,,,,,,,,,,,,,,,2.7%,,,,
,,57700,Human Factors In Engr,202210,Fall 2021,WNG,14190,"Proctor, Robert W.",19.4%,9.7%,3.2%,1.6%,33.9%,6.5%,4.8%,16.1%,,,3.2%,,,,,,,,,,,,,,,1.6%,,,,
,,57800,Applied Ergonomics,202210,Fall 2021,WNG,17498,"Duffy, Vincent G.",35.1%,14.0%,24.6%,,1.8%,5.3%,7.0%,3.5%,,,1.8%,,,,5.3%,,,,,,,,,,,1.8%,,,,
,,57900,Des Cont Prod Mfg Sys,202210,Fall 2021,WNG,50789,"Nof, Shimon Y.",62.7%,,,,37.3%,,,,,,,,,,,,,,,,,,,,,,,,,
,,58000,Systems Simulation,202210,Fall 2021,WNG,64596,"Lee, Seokcheon",68.9%,9.5%,8.1%,,,2.7%,6.8%,,,,,,1.4%,,,,,,,,,,,,,2.7%,,,,
,,59000,Assistive Technology Practice,202210,Fall 2021,015,57328,"Duerstock, Bradley S.",23.1%,15.4%,7.7%,,,,38.5%,7.7%,,,,,,,,,,,,,,,,,,7.7%,,,,
,,,Complex Systms: Theory& Apps,202210,Fall 2021,061,17694,"Goni Cortes, Joaquin",10.5%,5.3%,42.1%,,5.3%,5.3%,10.5%,5.3%,,,,,,,,,,,,,,,,,,15.8%,,,,
,,,Human Fctrs Of Gerontechnology,202210,Fall 2021,057,16789,"Pitts, Brandon J.",76.5%,11.8%,5.9%,,,,5.9%,,,,,,,,,,,,,,,,,,,,,,,
,,,Information Engineering,202210,Fall 2021,WNG,22669,"Prabhu, Nagabhushana",,7.7%,76.9%,,,,7.7%,,,,,,,,,,,,,,,,,,,7.7%,,,,
,,,PMP Capstone Proj Preparation,202210,Fall 2021,060,16793,"Fong, Nga Hin B.",66.7%,,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69000,System Dynamics,202210,Fall 2021,002,24073,"Goni Cortes, Joaquin",40.0%,,46.7%,,,,6.7%,,,,,,6.7%,,,,,,,,,,,,,,,,,
,,69700,Seminar,202210,Fall 2021,001,22095,"Brunese, Patrick A.",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
IET,IET-Industrial Engr Technology,21400,Intro Supply Chain Mgmt Tech,202210,Fall 2021,001,10177,"Nanda, Gaurav",18.6%,16.3%,2.3%,,16.3%,7.0%,14.0%,9.3%,,9.3%,,,4.7%,,2.3%,,,,,,,,,,,,,,,
,,,,,,002,10179,"Nanda, Gaurav",23.9%,6.5%,10.9%,,8.7%,19.6%,19.6%,,,2.2%,,2.2%,,,2.2%,,,,,,,,,,,4.3%,,,,
,,23500,Intro Lean & Sustainable Sys,202210,Fall 2021,014,27233,"Maley, James G.",66.7%,,16.7%,,11.1%,,,,,,,,,,,,,,,,,,,,,5.6%,,,,
,,31300,Tech Innov & Integration: AIDC,202210,Fall 2021,009,10249,"O'Connor, Kevin J.",58.0%,,,,31.9%,,,8.7%,,,,,,,1.4%,,,,,,,,,,,,,,,
,,31600,Statistical Quality Control,202210,Fall 2021,001,10256,"Stephens, Matthew P.",6.5%,3.2%,,,35.5%,,6.5%,25.8%,,,9.7%,3.2%,,,6.5%,,,,,,,,,,,3.2%,,,,
