Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;29900;C3 Game Jam;202620;Spring 2026;054;29563;Jarriel, Katherine M.;73.3%;20.0%;;;3.3%;;3.3%;;;;;;;;;;;;;;;;;
;;;Foundations Of Mentorship;202620;Spring 2026;044;29295;Macgiollabhui, Muiris;95.8%;;;;;;;;;;;;;;;;;;;;;;4.2%;
;;;Full STEAM Ahead;202620;Spring 2026;056;39073;Petrosyan, Suren M.;81.3%;;;;6.3%;;;6.3%;;;6.3%;;;;;;;;;;;;;
;;;Leadership Praxis;202620;Spring 2026;053;29562;Scroggins, Shaunta D.;37.5%;8.3%;20.8%;;12.5%;;4.2%;;;;;;;;4.2%;4.2%;;;;;;;8.3%;
;;;Nonprofits & Philanthropy;202620;Spring 2026;043;26972;Dilworth, Kathryn F.;95.7%;1.4%;;;;;;;;;;;;;;;;;;;;;2.9%;
;;31000;Space-Time!;202620;Spring 2026;001;29566;Watkins, Adam E.;85.7%;4.8%;;;4.8%;;;;;;;;;;4.8%;;;;;;;;;
;;31200;Jazz;202620;Spring 2026;001;19727;Ware, Jason A.;20.0%;5.0%;50.0%;;10.0%;;;5.0%;;10.0%;;;;;;;;;;;;;;
;;31300;STS: Learning At PU In AI Era;202620;Spring 2026;002;39065;Nelson, David B.;75.0%;15.0%;;;;;5.0%;;;5.0%;;;;;;;;;;;;;;
;;;STS: Space Exploration & Soc;202620;Spring 2026;003;39067;Conway, Erik M.;35.0%;25.0%;30.0%;;5.0%;;5.0%;;;;;;;;;;;;;;;;;
;;;STS: World Building;202620;Spring 2026;001;29568;Jarriel, Katherine M.;89.5%;;;;;;;5.3%;;;;;;;;;;;;;;;5.3%;
;;;STS: The Tech-Juris Paradox;202620;Spring 2026;005;41275;Defrench, Melissa K.;;8.3%;83.3%;;;;;;;8.3%;;;;;;;;;;;;;;
;;31400;Human Epoch: Climate Solutions;202620;Spring 2026;004;39057;Vanaik, Anish;85.0%;10.0%;5.0%;;;;;;;;;;;;;;;;;;;;;
;;;Human Epoch: Mapping Heritage;202620;Spring 2026;003;15215;Krishna, Ashima;37.5%;;62.5%;;;;;;;;;;;;;;;;;;;;;
;;31500;Across Diff: Music Unites;202620;Spring 2026;002;39072;Petrosyan, Suren M.;94.4%;;;;;;5.6%;;;;;;;;;;;;;;;;;
;;;Across Diff: Stage & Screen;202620;Spring 2026;001;39070;Canete Jurado, Vanesa M.;60.0%;;25.0%;;5.0%;;5.0%;;;;;;;;;;;;;;;;5.0%;
;;39900;Defining Ugly;202620;Spring 2026;002;39091;Bellet, Ashley M.;28.6%;14.3%;52.4%;;;;;;;;;;;;;;;;;;;;4.8%;
;;;Embodied Cognition In Learning;202620;Spring 2026;005;39100;Guberman, Daniel A.;80.0%;;20.0%;;;;;;;;;;;;;;;;;;;;;
;;;Mind: Science, Art, Literature;202620;Spring 2026;003;39092;Kantor, Alon;;9.1%;90.9%;;;;;;;;;;;;;;;;;;;;;
;;46000;Technological Justice;202620;Spring 2026;001;19732;Weinberg, Lindsay;87.0%;13.0%;;;;;;;;;;;;;;;;;;;;;;
;;46300;Research Thinking Portfolio;202620;Spring 2026;002;22832;Defrench, Melissa K.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;003;39075;Dilworth, Kathryn F.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;46400;Scholarly Project: Bookworks;202620;Spring 2026;006;29574;Moore, Jonathan P.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;SP: Inspiring Motivation;202620;Spring 2026;009;39086;Adeoye, Temitope F.;47.1%;11.8%;11.8%;;;;17.6%;5.9%;;;;;;;;;;;;;;;5.9%;
;;;SP: Noise In The Environment;202620;Spring 2026;008;39085;Bellisario, Kristen M.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;49900;TREKS Engagement VI;202620;Spring 2026;001;41571;Ware, Jason A.;4.8%;;95.2%;;;;;;;;;;;;;;;;;;;;;
HORT;HORT-Horticulture;10100;Fundmntls Horticulture;202620;Spring 2026;014;12554;Corado Mendoza, Celia G.;45.5%;18.2%;;;;;;9.1%;;18.2%;;;;;;;;;;;;;9.1%;
;;;;;;018;16468;Corado Mendoza, Celia G.;41.7%;25.0%;;;;;8.3%;16.7%;;;;;8.3%;;;;;;;;;;;
;;11000;Opportunities In Horticulture;202620;Spring 2026;001;20671;Patton, Aaron J.;72.4%;3.4%;;;8.6%;;3.4%;3.4%;1.7%;;3.4%;;;;1.7%;;;;;;;;1.7%;
;;20100;Plant Propagation;202620;Spring 2026;001;20672;Beck, MacOn A.;53.8%;7.7%;15.4%;;15.4%;;7.7%;;;;;;;;;;;;;;;;;
;;;Plant Propagation-Honors;202620;Spring 2026;001;20672;Beck, MacOn A.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;21000;Fund Turfgrass Culture;202620;Spring 2026;001;15257;Bigelow, Cale A.;47.6%;33.3%;;;14.3%;;;;;;;;;;;;;;;;;;4.8%;
;;21100;Turfgrass Culture Lab;202620;Spring 2026;001;15258;Bigelow, Cale A.;38.9%;16.7%;;;16.7%;11.1%;11.1%;;;;;;;;;;;;;;;;5.6%;
;;21200;GH And LA For Educators;202620;Spring 2026;002;37473;Orvis, Kathryn S.;4.8%;;85.7%;;;4.8%;;;4.8%;;;;;;;;;;;;;;;
;;27000;Floral Design & Inter Plt Mgmt;202620;Spring 2026;005;13242;Sullivan, Karen M.;25.0%;11.3%;56.3%;;1.3%;2.5%;2.5%;;;;;;;;;;;1.3%;;;;;;
;;30100;Plant Physiology;202620;Spring 2026;003;11401;Li, Ying;71.4%;;4.8%;;19.0%;;;4.8%;;;;;;;;;;;;;;;;
;;;Plant Physiology-Honors;202620;Spring 2026;003;11401;Li, Ying;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;30600;Hist Of Horticulture;202620;Spring 2026;001;17363;Beck, MacOn A.;10.8%;6.6%;67.9%;;2.8%;4.2%;1.9%;;0.9%;0.9%;0.5%;;;;1.9%;;;0.5%;;;;;0.9%;
;;32200;Greenhouse Crop Production;202620;Spring 2026;001;28870;Gomez, Celina;50.0%;;;;25.0%;;;5.0%;;;;;;;;;;5.0%;;;;;15.0%;
;;43500;Developing An Agr Startup;202620;Spring 2026;001;28026;Torres Bravo, Ariana P.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;53000;Intr To Computng Fr Biologists;202620;Spring 2026;003;29394;Varala, Kranthi K.;16.7%;8.3%;66.7%;;;;;;;;;;;;;;;;;;;;8.3%;
;;59000;Advanced Turfgrass Pest Mgmt;202620;Spring 2026;001;38248;Powlen, Jada S.;53.8%;;;;30.8%;;7.7%;7.7%;;;;;;;;;;;;;;;;
HSCI;HSCI-Health Sciences;13000;Intro To Medical Lab Science;202620;Spring 2026;003;55347;Hilliard, Lisa M.;61.1%;;5.6%;;2.8%;2.8%;11.1%;;;;;;;;5.6%;;;;;;;;11.1%;
;;13100;Medical Terminology;202620;Spring 2026;SC1;68237;Hilliard, Lisa M.;17.8%;5.8%;1.6%;;22.5%;1.0%;5.2%;12.6%;;4.2%;4.7%;0.5%;2.6%;;3.7%;;;;;;;;17.8%;
;;;Medical Terminology-Honors;202620;Spring 2026;SC1;68237;Hilliard, Lisa M.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;20100;Public Health Science;202620;Spring 2026;001;20743;Havics, Andrew A.;84.1%;;;;11.0%;;;1.9%;;;0.6%;;;;1.0%;;;;;;;;1.3%;
;;22500;Health Leadership And Safety;202620;Spring 2026;001;22980;Wilson, Mark D.;55.2%;2.1%;22.8%;;9.7%;;6.2%;2.8%;;0.7%;;;;;;;;;;;;;0.7%;
;;30500;Basics Of Oncology;202620;Spring 2026;001;10306;He, Qiuhong;24.2%;4.5%;42.4%;;4.5%;6.1%;12.1%;4.5%;;1.5%;;;;;;;;;;;;;;
;;;Basics Of Oncology-Honors;202620;Spring 2026;001;10306;He, Qiuhong;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;31000;Imaging In Medicine;202620;Spring 2026;001;20103;Ooms, Nathan A.;93.9%;;;;4.5%;;;;;;1.5%;;;;;;;;;;;;;
;;33300;Introduction To Immunology;202620;Spring 2026;003;55346;Hilliard, Lisa M.;36.1%;5.2%;;;34.0%;;19.6%;2.1%;;3.1%;;;;;;;;;;;;;;
;;33400;Lung Physiology And Medicine;202620;Spring 2026;001;22977;Wilson, Mark D.;48.9%;;37.8%;;8.9%;;2.2%;;;;;;2.2%;;;;;;;;;;;
;;33500;Heart Physiology And Medicine;202620;Spring 2026;001;22775;Wilson, Mark D.;31.0%;7.1%;52.4%;;4.8%;;2.4%;2.4%;;;;;;;;;;;;;;;;
;;;;;;002;30706;Wilson, Mark D.;50.0%;4.8%;21.4%;;4.8%;;7.1%;7.1%;2.4%;;;;2.4%;;;;;;;;;;;
;;;Heart Physiology & Med-Honors;202620;Spring 2026;001;22775;Wilson, Mark D.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;33600;Eye Physiology And Disease;202620;Spring 2026;001;16188;Kerstein, Patrick C.;72.7%;9.1%;9.1%;;6.8%;;2.3%;;;;;;;;;;;;;;;;;
;;;Eye Physiology&Disease-Honors;202620;Spring 2026;001;16188;Kerstein, Patrick C.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;34500;Intro Occ Envir Health;202620;Spring 2026;001;14789;Havics, Andrew A.;55.0%;15.0%;;;7.5%;;17.5%;2.5%;;2.5%;;;;;;;;;;;;;;
;;35300;Occ Safety Management Culture;202620;Spring 2026;001;37470;Wilson, Mark D.;28.6%;;11.4%;;25.7%;;17.1%;5.7%;;8.6%;;;2.9%;;;;;;;;;;;
;;36000;Everyday Toxicology;202620;Spring 2026;001;22799;Baloni, Priyanka;47.6%;;;;47.6%;;;4.8%;;;;;;;;;;;;;;;;
;;;Everyday Toxicology-Honors;202620;Spring 2026;001;22799;Baloni, Priyanka;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;39501;HSCI Junior Honors Seminar;202620;Spring 2026;H01;69767;Scarpelli, Matthew L.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
;;39601;HSCI Junior Honors Project;202620;Spring 2026;H01;12443;Bowman, Aaron B.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
;;41500;Intro To Nuclear Security;202620;Spring 2026;001;39155;Harris, Jason T.;57.9%;15.8%;;;10.5%;;15.8%;;;;;;;;;;;;;;;;;
;;49000;Dissecting Dementia;202620;Spring 2026;101;17387;Hilliard, Lisa M.;60.7%;3.6%;;;10.7%;;14.3%;7.1%;;3.6%;;;;;;;;;;;;;;
;;51400;Radiation Instrumt Lab;202620;Spring 2026;003;52869;Nie, Linda H.;61.5%;;;;23.1%;;;15.4%;;;;;;;;;;;;;;;;
;;52000;Risk Assessment Environ Health;202620;Spring 2026;001;16122;Wells, Ellen M.;46.2%;;7.7%;;15.4%;;23.1%;;;;;;;;;;;;;;;;7.7%;
;;53400;Applied Health Physics;202620;Spring 2026;001;69277;Nie, Linda H.;88.9%;;;;11.1%;;;;;;;;;;;;;;;;;;;
;;54000;Radiation Biology;202620;Spring 2026;001;20856;Scarpelli, Matthew L.;43.9%;9.8%;2.4%;;17.1%;;24.4%;2.4%;;;;;;;;;;;;;;;;
;;57500;Intro Environmental Health;202620;Spring 2026;002;15979;Muthumalage, Thivanka M.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;61300;Professional Devel In Hlth Sci;202620;Spring 2026;001;16622;Shannahan, Jonathan H.;50.0%;;41.7%;;8.3%;;;;;;;;;;;;;;;;;;;
;;69600;Seminr In Hlth Science;202620;Spring 2026;001;20874;Kerstein, Patrick C.;86.8%;7.4%;;;1.5%;;2.9%;;;;;;;;;;;;;;;;1.5%;
HSOP;HSOP-Hlth,Srvcs,Outcomes&Polic;69600;Sem In Phar Adm;202620;Spring 2026;001;10131;Allen, John M.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
HTM;HTM-Hospitality & Tourism Mgmt;14100;Fin Acctg Service Ind;202620;Spring 2026;001;15357;Bucher, Shawn;25.0%;8.3%;8.3%;;4.2%;16.7%;20.8%;4.2%;4.2%;;;;4.2%;;;;;;;;;;4.2%;
;;;;;;002;16231;Bucher, Shawn;12.5%;16.7%;12.5%;;12.5%;8.3%;;16.7%;4.2%;4.2%;;;;;4.2%;;;;;;;;8.3%;
;;16200;Intro To Event & Meet Planning;202620;Spring 2026;001;38263;Cecil, Amanda K.;33.3%;18.5%;;;37.0%;;;3.7%;;3.7%;;;;;;;;;;;;;3.7%;
;;17300;Tourism Systems;202620;Spring 2026;001;16232;Lehto, Xinran Y.;72.0%;;;;24.0%;;;;;;;;;;;;;;;;;;4.0%;
;;;;;;002;38131;Day, Gordon J.;40.0%;16.0%;4.0%;;8.0%;;12.0%;4.0%;4.0%;4.0%;;;;;;;;;;;;;8.0%;
;;18000;Hospitality Operations;202620;Spring 2026;001;28839;Bies, Amanda R.;17.9%;5.1%;56.4%;;7.7%;5.1%;5.1%;;;;;;;;;;;;;;;;2.6%;
;;20000;Career Explor And Dev Seminar;202620;Spring 2026;002;37493;Love, Samantha N.;7.1%;;64.3%;;14.3%;;;;;;;;7.1%;;;;;;;;;;7.1%;
;;20200;Hospitality&Tourism Work Expr;202620;Spring 2026;001;14446;Helfert, Rene M.;;;;;;;;;;;;;;;;;;91.7%;;;;;8.3%;
;;21200;Leading For Success In Svc Ind;202620;Spring 2026;001;57317;Day, Gordon J.;42.4%;24.2%;;;6.1%;6.1%;6.1%;;3.0%;3.0%;;3.0%;;;6.1%;;;;;;;;;
;;21800;Creating Exp For A Diverse Soc;202620;Spring 2026;001;40894;Kour, Gurpreet;32.0%;36.0%;;;4.0%;4.0%;8.0%;;;4.0%;;;;;12.0%;;;;;;;;;
;;23100;Mktg In Service Industries;202620;Spring 2026;001;16236;Hu, Hongyan;26.3%;26.3%;;;15.8%;15.8%;5.3%;5.3%;5.3%;;;;;;;;;;;;;;;
;;;;;;002;19634;Lehto, Xinran Y.;75.0%;;;;20.0%;;;5.0%;;;;;;;;;;;;;;;;
;;24100;Mgr Acct In Svc Industries;202620;Spring 2026;001;14630;Bang, Dohyung;22.2%;;;;51.9%;;;22.2%;;;;;;;;;;;;;;;3.7%;
;;;;;;002;16237;Baldick, Hwijin J.;;21.7%;;;8.7%;34.8%;13.0%;8.7%;4.3%;8.7%;;;;;;;;;;;;;;
;;25501;Excel & Analytics In Svc Inds;202620;Spring 2026;004;35347;Sun, Jiong;5.9%;11.8%;2.9%;;16.7%;7.8%;20.6%;6.9%;8.8%;6.9%;3.9%;;1.0%;;2.9%;;;;;;;;3.9%;
;;26200;Festivals And Special Events;202620;Spring 2026;001;15323;Cox Dexter, Casey M.;16.0%;4.0%;56.0%;;8.0%;4.0%;8.0%;;;;;;;;;;;;;;;;4.0%;
;;29001;Food And Beverage Mgmt;202620;Spring 2026;001;28601;Bucher, Shawn;28.9%;15.6%;17.8%;;4.4%;17.8%;11.1%;;2.2%;;;;;;;;;;;;;;2.2%;
;;29101;The JPR Restaurant Experience;202620;Spring 2026;001;20907;Tkach, Julie L.;16.7%;33.3%;33.3%;;8.3%;;8.3%;;;;;;;;;;;;;;;;;
;;;;;;003;20905;Tkach, Julie L.;9.1%;9.1%;45.5%;;9.1%;;18.2%;;;;;;;;;;;;;;;;9.1%;
;;;The JPR Restaurant Exp -Honors;202620;Spring 2026;003;20905;Tkach, Julie L.;;;;;;;100.0%;;;;;;;;;;;;;;;;;
;;30200;Hosp & Tour Ind Intern I;202620;Spring 2026;001;20910;Helfert, Rene M.;25.0%;12.5%;37.5%;;;6.3%;12.5%;;;;;;;;;;;;;;;;6.3%;
;;31100;Procuremt Mgt Foodserv;202620;Spring 2026;001;31606;Byrd, Karen S.;50.0%;;5.6%;;16.7%;;16.7%;3.7%;;3.7%;1.9%;;1.9%;;;;;;;;;;;
;;31200;Talent Mgmt For Serv Ind;202620;Spring 2026;001;20913;Gordon, Susan E.;25.8%;12.9%;12.9%;;6.5%;6.5%;12.9%;3.2%;;3.2%;;3.2%;;;3.2%;;;;;;;;9.7%;
;;31700;Bus Etiquette For Mgrs;202620;Spring 2026;001;22804;Cawdron, Anthony P.;31.3%;10.4%;58.3%;;;;;;;;;;;;;;;;;;;;;
;;32200;Hosptl Facilities Mgmt;202620;Spring 2026;001;50544;Tkach, Julie L.;78.4%;;;;18.9%;;;2.7%;;;;;;;;;;;;;;;;
;;34100;Ops Ctrl/Analysis In Hosp Ind;202620;Spring 2026;001;20917;Bucher, Shawn;21.1%;42.1%;;;5.3%;26.3%;;;5.3%;;;;;;;;;;;;;;;
;;;Ops Ctrl/Anly In Hosp Ind-Hnrs;202620;Spring 2026;001;20917;Bucher, Shawn;;100.0%;;;;;;;;;;;;;;;;;;;;;;
;;38110;Revenue Mgmt In Svc Ind;202620;Spring 2026;001;64098;Wang, Peihao;42.9%;23.8%;4.8%;;14.3%;4.8%;4.8%;;4.8%;;;;;;;;;;;;;;;
;;;;;;002;16249;Wang, Peihao;36.7%;6.7%;23.3%;;3.3%;6.7%;16.7%;3.3%;;;;;3.3%;;;;;;;;;;;
;;38600;Fund Of Hotel Asset Mgmt;202620;Spring 2026;001;38574;Tang, Chun-Hung H.;14.3%;28.6%;9.5%;;14.3%;9.5%;9.5%;4.8%;;4.8%;;;4.8%;;;;;;;;;;;
;;39900;Sustnable Tourism Destntn Mgmt;202620;Spring 2026;001;39793;Day, Gordon J.;31.6%;31.6%;;;21.1%;;10.5%;;;;;;;;5.3%;;;;;;;;;
;;41100;Hospitality & Tour Law;202620;Spring 2026;001;20928;Tkach, Julie L.;62.5%;;;;27.5%;;;7.5%;;;;;;;2.5%;;;;;;;;;
;;44100;Fin Mgt Hospitality Ind;202620;Spring 2026;002;17565;Jang, Soo Cheong;27.8%;;;;33.3%;;;33.3%;;;5.6%;;;;;;;;;;;;;
;;46200;Adv Event And Meeting Mgmt;202620;Spring 2026;001;10772;Jung, Shinyong;28.6%;42.9%;;;9.5%;4.8%;14.3%;;;;;;;;;;;;;;;;;
;;49112;Mgmt & Serv Beverage Alcohol;202620;Spring 2026;X01;57346;Wade, Courtney J.;38.1%;4.8%;23.8%;;19.0%;4.8%;9.5%;;;;;;;;;;;;;;;;;
;;49201;Hosp Op Mgmt And Ldshp;202620;Spring 2026;001;26676;Goad, Bruce A.;76.1%;;;;19.6%;;;4.3%;;;;;;;;;;;;;;;;
;;49901;Strategic Mgmt In Svc Ind;202620;Spring 2026;002;26451;Kwak, Soo Yeon;23.1%;23.1%;;;23.1%;23.1%;7.7%;;;;;;;;;;;;;;;;;
;;;;;;003;38852;Nicely, Annmarie J.;;15.4%;15.4%;;15.4%;;;15.4%;7.7%;15.4%;;7.7%;7.7%;;;;;;;;;;;
;;;;;;004;38853;Sun, Jiong;7.1%;14.3%;;;7.1%;14.3%;42.9%;7.1%;7.1%;;;;;;;;;;;;;;;
IDE;IDE-Interdisciplinary Engr;30100;Professional Prep IDE;202620;Spring 2026;001;21598;Hynes, Morgan M.;6.5%;;48.4%;;6.5%;3.2%;9.7%;;6.5%;3.2%;;;;;6.5%;;;;;;;;9.7%;
;;36000;MDE Statistics;202620;Spring 2026;001;14987;Syed Hassan, Syed Ahmad Helmi B.;;20.0%;25.0%;;;15.0%;15.0%;;;5.0%;;5.0%;;;;;;;;;;;15.0%;
;;48000;Engineering Ethics In IDE;202620;Spring 2026;001;30690;Hess, Justin L.;33.3%;14.3%;19.0%;;4.8%;4.8%;;4.8%;4.8%;4.8%;;;;;9.5%;;;;;;;;;
;;48500;MDE Engr Design Project;202620;Spring 2026;001;21105;Hynes, Morgan M.;88.5%;;;;;;7.7%;;;3.8%;;;;;;;;;;;;;;
;;49500;Civilian Service In DoD;202620;Spring 2026;006;32143;Callahan, Ken D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;007;32144;Prater, Sarah N.;92.3%;;;;;;7.7%;;;;;;;;;;;;;;;;;
IE;IE-Industrial Engineering;20000;Ind Engr Seminar;202620;Spring 2026;001;20971;Pearson, Elizabeth;;;;;;;;;;;;;;;;;;;;87.5%;;5.0%;7.5%;
;;23000;Prob & Stat In Engr I;202620;Spring 2026;001;20972;Huang, Congfang;21.8%;15.3%;55.6%;;0.8%;;3.2%;0.8%;0.8%;;;;;;1.6%;;;;;;;;;
;;33000;Prob & Stat In Engr II;202620;Spring 2026;001;20974;Cho, Lucky;28.6%;;19.0%;;10.5%;;24.8%;2.9%;;6.7%;;;2.9%;;2.9%;;;;;;;;1.9%;
;;;;;;002;36765;Huang, Congfang;32.7%;19.2%;38.5%;;1.0%;;3.8%;1.0%;1.9%;1.0%;1.0%;;;;;;;;;;;;;
;;33200;Comput In Indust Engr;202620;Spring 2026;001;20975;Ventresca, Mario;1.8%;7.0%;;;19.3%;29.8%;7.0%;5.3%;8.8%;19.3%;;;1.8%;;;;;;;;;;;
;;33500;Oper Research-Optimiz;202620;Spring 2026;001;20980;Cho, Lucky;27.4%;;48.9%;;7.4%;;9.6%;;;5.2%;;;;;0.7%;;;;;;;;0.7%;
;;;;;;002;26131;Zhang, Zhe;9.7%;27.4%;7.3%;;26.6%;;2.4%;12.9%;;1.6%;3.2%;;;;;;;;;;;;8.9%;
;;33600;Oper Res-Stoch Models;202620;Spring 2026;001;20981;Goni Cortes, Joaquin;16.7%;14.5%;13.8%;;10.1%;6.5%;6.5%;8.0%;5.1%;7.2%;2.2%;2.9%;3.6%;;2.2%;;;;;;;;0.7%;
;;34300;Engineering Economics;202620;Spring 2026;001;11276;Esmaeili, Behzad;29.3%;12.1%;43.3%;;4.5%;3.8%;5.1%;;;0.6%;0.6%;;;;0.6%;;;;;;;;;
;;;;;;002;11277;Salama, Mohamed;12.9%;17.2%;4.9%;;13.5%;8.0%;16.0%;6.7%;4.3%;6.7%;1.8%;;1.8%;;3.1%;;;;;;;;3.1%;
;;;Engineering Economics-Honors;202620;Spring 2026;001;11276;Esmaeili, Behzad;;100.0%;;;;;;;;;;;;;;;;;;;;;;
;;37000;Mfg Processes I;202620;Spring 2026;001;20984;Martinez, Ramses;11.7%;9.7%;13.0%;;7.8%;9.7%;17.5%;16.2%;;;7.8%;;;;3.9%;;;;;;;;2.6%;
;;38300;Integrated Prod Sys I;202620;Spring 2026;001;68820;Yih, Yuehwern;22.5%;10.6%;7.0%;;9.9%;7.7%;10.6%;9.2%;2.8%;7.7%;4.9%;1.4%;1.4%;;2.1%;1.4%;;;;;;;0.7%;
;;38600;Work Anly And Design I;202620;Spring 2026;001;20986;Lehto, Mark R.;19.2%;9.0%;0.6%;;10.9%;16.0%;28.2%;6.4%;1.9%;7.7%;;;;;;;;;;;;;;
;;39699;Prof Practice Internship;202620;Spring 2026;001;59056;Brunese, Patrick A.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;43100;Industrial Engr Design;202620;Spring 2026;003;41243;Syed Hassan, Syed Ahmad Helmi B.;80.4%;;;;17.9%;;;1.7%;;;;;;;;;;;;;;;;
;;47000;Mfg Processes II;202620;Spring 2026;001;21025;Cheng, Gary J.;68.1%;8.7%;15.9%;;1.4%;1.4%;4.3%;;;;;;;;;;;;;;;;;
;;47400;Industrial Control Sys;202620;Spring 2026;001;21029;Seetharaman, Sivaranjani;24.6%;20.3%;16.1%;;14.4%;11.9%;9.3%;0.8%;0.8%;1.7%;;;;;;;;;;;;;;
;;48100;Intro To System Simulation;202620;Spring 2026;001;25568;Lee, Seokcheon;64.7%;17.6%;11.8%;;;;5.9%;;;;;;;;;;;;;;;;;
;;48400;Integrated Prod Sys II;202620;Spring 2026;002;21031;Lee, Seokcheon;36.3%;22.5%;7.8%;;7.8%;6.9%;8.8%;1.0%;1.0%;7.8%;;;;;;;;;;;;;;
;;48600;Work Anly & Design II;202620;Spring 2026;001;21033;Caldwell, Barrett S.;11.8%;1.8%;10.0%;;61.8%;5.5%;6.4%;1.8%;0.9%;;;;;;;;;;;;;;;
;;49000;AI And Job Design UAE;202620;Spring 2026;006;41427;Duffy, Vincent G.;53.8%;7.7%;15.4%;;;;15.4%;;;7.7%;;;;;;;;;;;;;;
;;;Intro Machine Learning & Apps;202620;Spring 2026;005;24229;Estrada Gomez, Ana M.;42.9%;;23.8%;;;;9.5%;;;;;;;;9.5%;;;;;;;;9.5%;4.8%
;;53000;Quality Control;202620;Spring 2026;002;42864;Lin, Dennis K.;29.2%;12.5%;;;8.3%;6.3%;37.5%;4.2%;;2.1%;;;;;;;;;;;;;;
;;53300;Ind Application Stat;202620;Spring 2026;WNG;41472;Hass, Zachary J.;54.7%;1.3%;36.0%;;5.3%;;;;;;;;;;1.3%;;;;;;;;1.3%;
;;53800;Nonlin Opt Algrms Mdls;202620;Spring 2026;001;16250;Xie, Miaolan;46.7%;6.7%;13.3%;;;;6.7%;;;;;;;;;;;6.7%;;;;;20.0%;
;;54600;Economic Decis Engr;202620;Spring 2026;WNG;52296;Liu, Lu;92.8%;;;1.4%;4.3%;;;;;;;;;;1.4%;;;;;;;;;
;;54900;Mach Vis Intelligent Robot Sys;202620;Spring 2026;001;25360;Wachs, Juan P.;32.4%;5.4%;37.8%;;2.7%;5.4%;8.1%;2.7%;;;;;;;;;;2.7%;;;;;2.7%;
;;55100;Dgtl Transform In Indust Bus;202620;Spring 2026;001;41739;Biller, Stephan R.;13.3%;66.7%;20.0%;;;;;;;;;;;;;;;;;;;;;
;;55600;Job Design;202620;Spring 2026;001;11284;Duffy, Vincent G.;29.7%;21.6%;29.7%;;;2.7%;8.1%;2.7%;;2.7%;;;;;;;;;;;;;2.7%;
;;55800;Safety Engineering;202620;Spring 2026;001;25347;Duffy, Vincent G.;38.1%;13.1%;34.5%;;4.8%;3.6%;;1.2%;1.2%;;;;;;;;;;;;;;3.6%;
;;;;;;003;25492;Duffy, Vincent G.;48.0%;32.0%;;;8.0%;8.0%;;;;4.0%;;;;;;;;;;;;;;
;;57400;Ind Robtc Flexbl Asmby;202620;Spring 2026;WNG;16330;She, Yu;2.7%;2.7%;91.9%;;2.7%;;;;;;;;;;;;;;;;;;;
;;58200;Adv Facilities Design;202620;Spring 2026;001;26318;Huang, Congfang;41.4%;6.9%;44.8%;;3.4%;3.4%;;;;;;;;;;;;;;;;;;
;;58800;e-Work And e-Service;202620;Spring 2026;001;36110;Nof, Shimon Y.;33.3%;11.1%;33.3%;;11.1%;;5.6%;;;;;;;;;;;;;;;;5.6%;
;;59000;Adv Project Mgmt: Agile Methds;202620;Spring 2026;108;39561;Crynes, Lawrence L.;27.8%;27.8%;16.7%;;11.1%;;16.7%;;;;;;;;;;;;;;;;;
;;;AI And Energy Systems;202620;Spring 2026;109;39570;Liu, Lu;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;Human Factor & Medical Devices;202620;Spring 2026;082;15921;Yu, Denny;47.6%;14.3%;33.3%;;4.8%;;;;;;;;;;;;;;;;;;;
;;;Policy Analysis Climate Change;202620;Spring 2026;107;39485;Johnson, David R.;45.5%;;9.1%;;9.1%;;27.3%;;;;;;;;;;;;;;;;9.1%;
;;;Quality Systems Management;202620;Spring 2026;090;26319;Semssar, Salim A.;77.3%;;;;9.1%;;;9.1%;;;;;;;;;;;;;;;4.5%;
;;;Supply Chain Engr & Analytics;202620;Spring 2026;083;16329;Khir, Reem;52.5%;;;2.5%;10.0%;;25.0%;5.0%;;2.5%;;;;;;;;2.5%;;;;;;
;;;Technical Product Management;202620;Spring 2026;095;33332;Crynes, Lawrence L.;33.3%;18.2%;;;15.2%;9.1%;24.2%;;;;;;;;;;;;;;;;;
